# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: Ni and Ni
# periodic boundary conditions used (box size: 21.149508 x 21.244854 x 21.163744)
# number of analyzed time frames: 1
#r                  g(r)_id_gas_norm    g(r)_unnonorm       g(r)_unnorm_cumsum  
0.01000             0.00000             0.00000             0.00000             
0.03000             0.00000             0.00000             0.00000             
0.05000             0.00000             0.00000             0.00000             
0.07000             0.00000             0.00000             0.00000             
0.09000             0.00000             0.00000             0.00000             
0.11000             0.00000             0.00000             0.00000             
0.13000             0.00000             0.00000             0.00000             
0.15000             0.00000             0.00000             0.00000             
0.17000             0.00000             0.00000             0.00000             
0.19000             0.00000             0.00000             0.00000             
0.21000             0.00000             0.00000             0.00000             
0.23000             0.00000             0.00000             0.00000             
0.25000             0.00000             0.00000             0.00000             
0.27000             0.00000             0.00000             0.00000             
0.29000             0.00000             0.00000             0.00000             
0.31000             0.00000             0.00000             0.00000             
0.33000             0.00000             0.00000             0.00000             
0.35000             0.00000             0.00000             0.00000             
0.37000             0.00000             0.00000             0.00000             
0.39000             0.00000             0.00000             0.00000             
0.41000             0.00000             0.00000             0.00000             
0.43000             0.00000             0.00000             0.00000             
0.45000             0.00000             0.00000             0.00000             
0.47000             0.00000             0.00000             0.00000             
0.49000             0.00000             0.00000             0.00000             
0.51000             0.00000             0.00000             0.00000             
0.53000             0.00000             0.00000             0.00000             
0.55000             0.00000             0.00000             0.00000             
0.57000             0.00000             0.00000             0.00000             
0.59000             0.00000             0.00000             0.00000             
0.61000             0.00000             0.00000             0.00000             
0.63000             0.00000             0.00000             0.00000             
0.65000             0.00000             0.00000             0.00000             
0.67000             0.00000             0.00000             0.00000             
0.69000             0.00000             0.00000             0.00000             
0.71000             0.00000             0.00000             0.00000             
0.73000             0.00000             0.00000             0.00000             
0.75000             0.00000             0.00000             0.00000             
0.77000             0.00000             0.00000             0.00000             
0.79000             0.00000             0.00000             0.00000             
0.81000             0.00000             0.00000             0.00000             
0.83000             0.00000             0.00000             0.00000             
0.85000             0.00000             0.00000             0.00000             
0.87000             0.00000             0.00000             0.00000             
0.89000             0.00000             0.00000             0.00000             
0.91000             0.00000             0.00000             0.00000             
0.93000             0.00000             0.00000             0.00000             
0.95000             0.00000             0.00000             0.00000             
0.97000             0.00000             0.00000             0.00000             
0.99000             0.00000             0.00000             0.00000             
1.01000             0.00000             0.00000             0.00000             
1.03000             0.00000             0.00000             0.00000             
1.05000             0.00000             0.00000             0.00000             
1.07000             0.00000             0.00000             0.00000             
1.09000             0.00000             0.00000             0.00000             
1.11000             0.00000             0.00000             0.00000             
1.13000             0.00000             0.00000             0.00000             
1.15000             0.00000             0.00000             0.00000             
1.17000             0.00000             0.00000             0.00000             
1.19000             0.00000             0.00000             0.00000             
1.21000             0.00000             0.00000             0.00000             
1.23000             0.00000             0.00000             0.00000             
1.25000             0.00000             0.00000             0.00000             
1.27000             0.00000             0.00000             0.00000             
1.29000             0.00000             0.00000             0.00000             
1.31000             0.00000             0.00000             0.00000             
1.33000             0.00000             0.00000             0.00000             
1.35000             0.00000             0.00000             0.00000             
1.37000             0.00000             0.00000             0.00000             
1.39000             0.00000             0.00000             0.00000             
1.41000             0.00000             0.00000             0.00000             
1.43000             0.00000             0.00000             0.00000             
1.45000             0.00000             0.00000             0.00000             
1.47000             0.00000             0.00000             0.00000             
1.49000             0.00000             0.00000             0.00000             
1.51000             0.00000             0.00000             0.00000             
1.53000             0.00000             0.00000             0.00000             
1.55000             0.00000             0.00000             0.00000             
1.57000             0.00000             0.00000             0.00000             
1.59000             0.00000             0.00000             0.00000             
1.61000             0.00000             0.00000             0.00000             
1.63000             0.00000             0.00000             0.00000             
1.65000             0.00000             0.00000             0.00000             
1.67000             0.00000             0.00000             0.00000             
1.69000             0.00000             0.00000             0.00000             
1.71000             0.00000             0.00000             0.00000             
1.73000             0.00000             0.00000             0.00000             
1.75000             0.00000             0.00000             0.00000             
1.77000             0.00000             0.00000             0.00000             
1.79000             0.00000             0.00000             0.00000             
1.81000             0.00000             0.00000             0.00000             
1.83000             0.00000             0.00000             0.00000             
1.85000             0.00000             0.00000             0.00000             
1.87000             0.00000             0.00000             0.00000             
1.89000             0.00000             0.00000             0.00000             
1.91000             0.00000             0.00000             0.00000             
1.93000             0.00000             0.00000             0.00000             
1.95000             0.00000             0.00000             0.00000             
1.97000             0.00000             0.00000             0.00000             
1.99000             0.00000             0.00000             0.00000             
2.01000             0.00000             0.00000             0.00000             
2.03000             0.00000             0.00000             0.00000             
2.05000             0.00000             0.00000             0.00000             
2.07000             0.00000             0.00000             0.00000             
2.09000             0.00000             0.00000             0.00000             
2.11000             0.00000             0.00000             0.00000             
2.13000             0.00000             0.00000             0.00000             
2.15000             0.00003             0.00000             0.00232             
2.17000             0.00000             0.00000             0.00232             
2.19000             0.00005             0.00001             0.00695             
2.21000             0.00005             0.00001             0.01159             
2.23000             0.00012             0.00001             0.02317             
2.25000             0.00016             0.00002             0.03940             
2.27000             0.00041             0.00005             0.08111             
2.29000             0.00076             0.00009             0.15991             
2.31000             0.00158             0.00019             0.32677             
2.33000             0.00223             0.00028             0.56547             
2.35000             0.00311             0.00039             0.90382             
2.37000             0.00450             0.00058             1.40209             
2.39000             0.00485             0.00063             1.94902             
2.41000             0.00645             0.00086             2.68830             
2.43000             0.00660             0.00089             3.45771             
2.45000             0.00671             0.00092             4.25261             
2.47000             0.00814             0.00113             5.23291             
2.49000             0.00718             0.00102             6.11124             
2.51000             0.00811             0.00117             7.11935             
2.53000             0.00675             0.00099             7.97219             
2.55000             0.00540             0.00080             8.66512             
2.57000             0.00471             0.00071             9.27926             
2.59000             0.00433             0.00066             9.85168             
2.61000             0.00379             0.00059             10.36153            
2.63000             0.00297             0.00047             10.76709            
2.65000             0.00258             0.00041             11.12399            
2.67000             0.00194             0.00032             11.39745            
2.69000             0.00128             0.00021             11.58053            
2.71000             0.00098             0.00016             11.72190            
2.73000             0.00050             0.00009             11.79606            
2.75000             0.00048             0.00008             11.86790            
2.77000             0.00026             0.00005             11.90730            
2.79000             0.00015             0.00003             11.93048            
2.81000             0.00013             0.00002             11.95133            
2.83000             0.00010             0.00002             11.96756            
2.85000             0.00012             0.00002             11.98610            
2.87000             0.00013             0.00002             12.00695            
2.89000             0.00000             0.00000             12.00695            
2.91000             0.00000             0.00000             12.00695            
2.93000             0.00003             0.00001             12.01159            
2.95000             0.00001             0.00000             12.01390            
2.97000             0.00000             0.00000             12.01390            
2.99000             0.00000             0.00000             12.01390            
3.01000             0.00000             0.00000             12.01390            
3.03000             0.00000             0.00000             12.01390            
3.05000             0.00000             0.00000             12.01390            
3.07000             0.00000             0.00000             12.01390            
