  r          G(r)    dr      dG(r)
  0.010     -0.531   0.0     0.1814
  0.020     -0.962   0.0     0.3405
  0.030     -1.203   0.0     0.4584
  0.040     -1.180   0.0     0.5218
  0.050     -0.844   0.0     0.5255
  0.060     -0.178   0.0     0.4737
  0.070      0.808   0.0     0.3817
  0.080      2.071   0.0     0.2820
  0.090      3.540   0.0     0.2366
  0.100      5.125   0.0     0.2853
  0.110      6.722   0.0     0.3709
  0.120      8.221   0.0     0.4388
  0.130      9.521   0.0     0.4674
  0.140     10.534   0.0     0.4531
  0.150     11.194   0.0     0.4054
  0.160     11.465   0.0     0.3472
  0.170     11.342   0.0     0.3128
  0.180     10.854   0.0     0.3263
  0.190     10.058   0.0     0.3725
  0.200      9.037   0.0     0.4179
  0.210      7.889   0.0     0.4404
  0.220      6.722   0.0     0.4329
  0.230      5.640   0.0     0.4010
  0.240      4.737   0.0     0.3617
  0.250      4.086   0.0     0.3387
  0.260      3.736   0.0     0.3472
  0.270      3.705   0.0     0.3787
  0.280      3.981   0.0     0.4110
  0.290      4.524   0.0     0.4269
  0.300      5.272   0.0     0.4201
  0.310      6.145   0.0     0.3951
  0.320      7.055   0.0     0.3659
  0.330      7.916   0.0     0.3503
  0.340      8.648   0.0     0.3585
  0.350      9.186   0.0     0.3835
  0.360      9.488   0.0     0.4084
  0.370      9.530   0.0     0.4197
  0.380      9.314   0.0     0.4126
  0.390      8.858   0.0     0.3915
  0.400      8.198   0.0     0.3684
  0.410      7.381   0.0     0.3575
  0.420      6.456   0.0     0.3657
  0.430      5.474   0.0     0.3866
  0.440      4.477   0.0     0.4065
  0.450      3.500   0.0     0.4146
  0.460      2.568   0.0     0.4072
  0.470      1.694   0.0     0.3888
  0.480      0.881   0.0     0.3700
  0.490      0.131   0.0     0.3625
  0.500     -0.563   0.0     0.3710
  0.510     -1.201   0.0     0.3891
  0.520     -1.785   0.0     0.4053
  0.530     -2.308   0.0     0.4108
  0.540     -2.759   0.0     0.4031
  0.550     -3.121   0.0     0.3866
  0.560     -3.377   0.0     0.3711
  0.570     -3.509   0.0     0.3662
