  r          G(r)    dr      dG(r)
  0.010     -2.344   0.0     4.0116
  0.020     -4.402   0.0     7.5323
  0.030     -5.921   0.0    10.1404
  0.040     -6.710   0.0    11.5436
  0.050     -6.661   0.0    11.6256
  0.060     -5.760   0.0    10.4786
  0.070     -4.086   0.0     8.4427
  0.080     -1.802   0.0     6.2346
  0.090      0.869   0.0     5.2215
  0.100      3.671   0.0     6.2983
  0.110      6.344   0.0     8.1941
  0.120      8.655   0.0     9.7019
  0.130     10.423   0.0    10.3408
  0.140     11.539   0.0    10.0293
  0.150     11.970   0.0     8.9784
  0.160     11.761   0.0     7.6907
  0.170     11.020   0.0     6.9223
  0.180      9.904   0.0     7.2111
  0.190      8.592   0.0     8.2265
  0.200      7.263   0.0     9.2316
  0.210      6.073   0.0     9.7339
  0.220      5.138   0.0     9.5737
  0.230      4.521   0.0     8.8747
  0.240      4.235   0.0     8.0091
  0.250      4.241   0.0     7.4982
  0.260      4.467   0.0     7.6801
  0.270      4.816   0.0     8.3699
  0.280      5.191   0.0     9.0824
  0.290      5.507   0.0     9.4360
  0.300      5.704   0.0     9.2900
  0.310      5.754   0.0     8.7438
  0.320      5.665   0.0     8.1010
  0.330      5.475   0.0     7.7565
  0.340      5.242   0.0     7.9332
  0.350      5.028   0.0     8.4779
  0.360      4.892   0.0     9.0246
  0.370      4.873   0.0     9.2749
  0.380      4.980   0.0     9.1213
  0.390      5.191   0.0     8.6592
  0.400      5.453   0.0     8.1514
  0.410      5.691   0.0     7.9121
  0.420      5.813   0.0     8.0924
  0.430      5.734   0.0     8.5501
  0.440      5.382   0.0     8.9875
  0.450      4.712   0.0     9.1645
  0.460      3.718   0.0     9.0026
  0.470      2.433   0.0     8.5985
  0.480      0.930   0.0     8.1858
  0.490     -0.688   0.0     8.0211
  0.500     -2.300   0.0     8.2056
  0.510     -3.782   0.0     8.6026
  0.520     -5.019   0.0     8.9601
  0.530     -5.926   0.0     9.0818
  0.540     -6.451   0.0     8.9133
  0.550     -6.586   0.0     8.5536
  0.560     -6.366   0.0     8.2132
  0.570     -5.860   0.0     8.1037
  0.580     -5.165   0.0     8.2899
  0.590     -4.390   0.0     8.6397
  0.600     -3.643   0.0     8.9354
  0.610     -3.016   0.0     9.0155
  0.620     -2.575   0.0     8.8458
  0.630     -2.352   0.0     8.5264
  0.640     -2.345   0.0     8.2462
  0.650     -2.519   0.0     8.1783
  0.660     -2.815   0.0     8.3583
  0.670     -3.162   0.0     8.6595
  0.680     -3.486   0.0     8.8948
  0.690     -3.723   0.0     8.9337
  0.700     -3.830   0.0     8.7624
  0.710     -3.788   0.0     8.4843
  0.720     -3.606   0.0     8.2700
  0.730     -3.318   0.0     8.2567
  0.740     -2.975   0.0     8.4500
  0.750     -2.639   0.0     8.7220
  0.760     -2.369   0.0     8.9072
  0.770     -2.217   0.0     8.9019
  0.780     -2.213   0.0     8.7112
  0.790     -2.368   0.0     8.4446
  0.800     -2.666   0.0     8.2621
  0.810     -3.071   0.0     8.2779
  0.820     -3.532   0.0     8.4779
  0.830     -3.989   0.0     8.7329
  0.840     -4.384   0.0     8.8916
  0.850     -4.672   0.0     8.8681
  0.860     -4.820   0.0     8.6794
  0.870     -4.819   0.0     8.4358
  0.880     -4.681   0.0     8.2849
  0.890     -4.436   0.0     8.3202
  0.900     -4.126   0.0     8.5148
  0.910     -3.802   0.0     8.7436
  0.920     -3.511   0.0     8.8714
  0.930     -3.294   0.0     8.8288
  0.940     -3.177   0.0     8.6431
  0.950     -3.167   0.0     8.4240
  0.960     -3.257   0.0     8.3050
  0.970     -3.424   0.0     8.3598
  0.980     -3.637   0.0     8.5498
  0.990     -3.859   0.0     8.7544
  1.000     -4.059   0.0     8.8532
  1.010     -4.210   0.0     8.7927
  1.020     -4.301   0.0     8.6095
  1.030     -4.330   0.0     8.4123
  1.040     -4.309   0.0     8.3217
  1.050     -4.258   0.0     8.3937
  1.060     -4.199   0.0     8.5794
  1.070     -4.155   0.0     8.7627
  1.080     -4.139   0.0     8.8366
  1.090     -4.156   0.0     8.7614
  1.100     -4.199   0.0     8.5821
  1.110     -4.250   0.0     8.4055
  1.120     -4.285   0.0     8.3405
  1.130     -4.275   0.0     8.4272
  1.140     -4.200   0.0     8.6088
  1.150     -4.047   0.0     8.7732
  1.160     -3.817   0.0     8.8250
  1.170     -3.528   0.0     8.7358
  1.180     -3.214   0.0     8.5567
  1.190     -2.917   0.0     8.3924
  1.200     -2.687   0.0     8.3418
  1.210     -2.567   0.0     8.4341
  1.220     -2.585   0.0     8.6088
  1.230     -2.747   0.0     8.7603
  1.240     -3.033   0.0     8.8037
  1.250     -3.390   0.0     8.7198
  1.260     -3.736   0.0     8.5614
  1.270     -3.967   0.0     8.4253
  1.280     -3.969   0.0     8.3953
  1.290     -3.629   0.0     8.4872
  1.300     -2.850   0.0     8.6393
  1.310     -1.569   0.0     8.7564
  1.320      0.234   0.0     8.7693
  1.330      2.529   0.0     8.6715
  1.340      5.230   0.0     8.5214
  1.350      8.206   0.0     8.4105
  1.360     11.280   0.0     8.4078
  1.370     14.257   0.0     8.5138
  1.380     16.931   0.0     8.6606
  1.390     19.114   0.0     8.7586
  1.400     20.648   0.0     8.7508
  1.410     21.426   0.0     8.6425
  1.420     21.398   0.0     8.4984
  1.430     20.583   0.0     8.4068
  1.440     19.058   0.0     8.4258
  1.450     16.955   0.0     8.5437
  1.460     14.446   0.0     8.6877
  1.470     11.723   0.0     8.7721
  1.480      8.980   0.0     8.7486
  1.490      6.396   0.0     8.6309
  1.500      4.115   0.0     8.4875
  1.510      2.237   0.0     8.4042
  1.520      0.813   0.0     8.4313
  1.530     -0.158   0.0     8.5501
  1.540     -0.722   0.0     8.6867
  1.550     -0.957   0.0     8.7603
  1.560     -0.966   0.0     8.7301
  1.570     -0.856   0.0     8.6150
  1.580     -0.729   0.0     8.4840
  1.590     -0.668   0.0     8.4163
  1.600     -0.730   0.0     8.4531
  1.610     -0.941   0.0     8.5697
  1.620     -1.299   0.0     8.6936
  1.630     -1.777   0.0     8.7515
  1.640     -2.327   0.0     8.7112
  1.650     -2.897   0.0     8.5974
  1.660     -3.432   0.0     8.4782
  1.670     -3.887   0.0     8.4261
  1.680     -4.230   0.0     8.4723
  1.690     -4.449   0.0     8.5863
  1.700     -4.549   0.0     8.6974
  1.710     -4.551   0.0     8.7401
  1.720     -4.486   0.0     8.6907
  1.730     -4.395   0.0     8.5794
  1.740     -4.313   0.0     8.4731
  1.750     -4.273   0.0     8.4370
  1.760     -4.294   0.0     8.4924
  1.770     -4.387   0.0     8.6037
  1.780     -4.546   0.0     8.7026
  1.790     -4.756   0.0     8.7310
  1.800     -4.994   0.0     8.6736
  1.810     -5.234   0.0     8.5651
  1.820     -5.451   0.0     8.4707
  1.830     -5.624   0.0     8.4478
  1.840     -5.739   0.0     8.5088
  1.850     -5.792   0.0     8.6142
  1.860     -5.789   0.0     8.6987
  1.870     -5.741   0.0     8.7128
  1.880     -5.666   0.0     8.6496
  1.890     -5.583   0.0     8.5481
  1.900     -5.509   0.0     8.4713
  1.910     -5.460   0.0     8.4675
  1.920     -5.443   0.0     8.5395
  1.930     -5.460   0.0     8.6424
  1.940     -5.506   0.0     8.7138
  1.950     -5.570   0.0     8.7114
  1.960     -5.641   0.0     8.6363
  1.970     -5.704   0.0     8.5324
  1.980     -5.747   0.0     8.4614
  1.990     -5.762   0.0     8.4660
  2.000     -5.744   0.0     8.5420
  2.010     -5.695   0.0     8.6419
  2.020     -5.619   0.0     8.7061
  2.030     -5.526   0.0     8.6982
  2.040     -5.428   0.0     8.6250
  2.050     -5.335   0.0     8.5315
  2.060     -5.257   0.0     8.4749
  2.070     -5.202   0.0     8.4896
  2.080     -5.174   0.0     8.5645
  2.090     -5.171   0.0     8.6513
  2.100     -5.188   0.0     8.6963
  2.110     -5.220   0.0     8.6721
  2.120     -5.255   0.0     8.5934
  2.130     -5.283   0.0     8.5082
  2.140     -5.295   0.0     8.4701
  2.150     -5.282   0.0     8.5041
  2.160     -5.238   0.0     8.5902
  2.170     -5.162   0.0     8.6762
  2.180     -5.053   0.0     8.7112
  2.190     -4.915   0.0     8.6745
  2.200     -4.756   0.0     8.5876
  2.210     -4.585   0.0     8.5018
  2.220     -4.413   0.0     8.4690
  2.230     -4.251   0.0     8.5089
  2.240     -4.109   0.0     8.5960
  2.250     -3.993   0.0     8.6770
  2.260     -3.904   0.0     8.7036
  2.270     -3.839   0.0     8.6605
  2.280     -3.784   0.0     8.5733
  2.290     -3.716   0.0     8.4943
  2.300     -3.603   0.0     8.4717
  2.310     -3.404   0.0     8.5193
  2.320     -3.072   0.0     8.6073
  2.330     -2.554   0.0     8.6826
  2.340     -1.799   0.0     8.7007
  2.350     -0.766   0.0     8.6519
  2.360      0.579   0.0     8.5654
  2.370      2.246   0.0     8.4933
  2.380      4.224   0.0     8.4797
  2.390      6.473   0.0     8.5323
  2.400      8.925   0.0     8.6180
  2.410     11.483   0.0     8.6843
  2.420     14.028   0.0     8.6915
  2.430     16.425   0.0     8.6352
  2.440     18.532   0.0     8.5483
  2.450     20.214   0.0     8.4825
  2.460     21.353   0.0     8.4780
  2.470     21.860   0.0     8.5374
  2.480     21.684   0.0     8.6246
