# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: K and K
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  G(r)_norm           g(r)_unnonorm       g(r)_unnorm_cumsum  
0.01000             -0.05436            0.00000             0.00000             
0.03000             -0.16308            0.00000             0.00000             
0.05000             -0.27181            0.00000             0.00000             
0.07000             -0.38053            0.00000             0.00000             
0.09000             -0.48925            0.00000             0.00000             
0.11000             -0.59798            0.00000             0.00000             
0.13000             -0.70670            0.00000             0.00000             
0.15000             -0.81542            0.00000             0.00000             
0.17000             -0.92415            0.00000             0.00000             
0.19000             -1.03287            0.00000             0.00000             
0.21000             -1.14159            0.00000             0.00000             
0.23000             -1.25032            0.00000             0.00000             
0.25000             -1.35904            0.00000             0.00000             
0.27000             -1.46776            0.00000             0.00000             
0.29000             -1.57649            0.00000             0.00000             
0.31000             -1.68521            0.00000             0.00000             
0.33000             -1.79393            0.00000             0.00000             
0.35000             -1.90266            0.00000             0.00000             
0.37000             -2.01138            0.00000             0.00000             
0.39000             -2.12010            0.00000             0.00000             
0.41000             -2.22883            0.00000             0.00000             
0.43000             -2.33755            0.00000             0.00000             
0.45000             -2.44627            0.00000             0.00000             
0.47000             -2.55500            0.00000             0.00000             
0.49000             -2.66372            0.00000             0.00000             
0.51000             -2.77244            0.00000             0.00000             
0.53000             -2.88116            0.00000             0.00000             
0.55000             -2.98989            0.00000             0.00000             
0.57000             -3.09861            0.00000             0.00000             
0.59000             -3.20733            0.00000             0.00000             
0.61000             -3.31606            0.00000             0.00000             
0.63000             -3.42478            0.00000             0.00000             
0.65000             -3.53350            0.00000             0.00000             
0.67000             -3.64223            0.00000             0.00000             
0.69000             -3.75095            0.00000             0.00000             
0.71000             -3.85967            0.00000             0.00000             
0.73000             -3.96840            0.00000             0.00000             
0.75000             -4.07712            0.00000             0.00000             
0.77000             -4.18584            0.00000             0.00000             
0.79000             -4.29457            0.00000             0.00000             
0.81000             -4.40329            0.00000             0.00000             
0.83000             -4.51201            0.00000             0.00000             
0.85000             -4.62074            0.00000             0.00000             
0.87000             -4.72946            0.00000             0.00000             
0.89000             -4.83818            0.00000             0.00000             
0.91000             -4.94691            0.00000             0.00000             
0.93000             -5.05563            0.00000             0.00000             
0.95000             -5.16435            0.00000             0.00000             
0.97000             -5.27307            0.00000             0.00000             
0.99000             -5.38180            0.00000             0.00000             
1.01000             -5.49052            0.00000             0.00000             
1.03000             -5.59924            0.00000             0.00000             
1.05000             -5.70797            0.00000             0.00000             
1.07000             -5.81669            0.00000             0.00000             
1.09000             -5.92541            0.00000             0.00000             
1.11000             -6.03414            0.00000             0.00000             
1.13000             -6.14286            0.00000             0.00000             
1.15000             -6.25158            0.00000             0.00000             
1.17000             -6.36031            0.00000             0.00000             
1.19000             -6.46903            0.00000             0.00000             
1.21000             -6.57775            0.00000             0.00000             
1.23000             -6.68648            0.00000             0.00000             
1.25000             -6.79520            0.00000             0.00000             
1.27000             -6.90392            0.00000             0.00000             
1.29000             -7.01265            0.00000             0.00000             
1.31000             -7.12137            0.00000             0.00000             
1.33000             -7.23009            0.00000             0.00000             
1.35000             -7.33882            0.00000             0.00000             
1.37000             -7.44754            0.00000             0.00000             
1.39000             -7.55626            0.00000             0.00000             
1.41000             -7.66499            0.00000             0.00000             
1.43000             -7.77371            0.00000             0.00000             
