# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for all atoms
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  g(r)_id_gas_norm    g(r)_unnonorm       g(r)_unnorm_cumsum  
0.01000             0.00000             0.00000             0.00000             
0.03000             0.00000             0.00000             0.00000             
0.05000             0.00000             0.00000             0.00000             
0.07000             0.00000             0.00000             0.00000             
0.09000             0.00000             0.00000             0.00000             
0.11000             0.00000             0.00000             0.00000             
0.13000             0.00000             0.00000             0.00000             
0.15000             0.00000             0.00000             0.00000             
0.17000             0.00000             0.00000             0.00000             
0.19000             0.00000             0.00000             0.00000             
0.21000             0.00000             0.00000             0.00000             
0.23000             0.00000             0.00000             0.00000             
0.25000             0.00000             0.00000             0.00000             
0.27000             0.00000             0.00000             0.00000             
0.29000             0.00000             0.00000             0.00000             
0.31000             0.00000             0.00000             0.00000             
0.33000             0.00000             0.00000             0.00000             
0.35000             0.00000             0.00000             0.00000             
0.37000             0.00000             0.00000             0.00000             
0.39000             0.00000             0.00000             0.00000             
0.41000             0.00000             0.00000             0.00000             
0.43000             0.00000             0.00000             0.00000             
0.45000             0.00000             0.00000             0.00000             
0.47000             0.00000             0.00000             0.00000             
0.49000             0.00000             0.00000             0.00000             
0.51000             0.00000             0.00000             0.00000             
0.53000             0.00000             0.00000             0.00000             
0.55000             0.00000             0.00000             0.00000             
0.57000             0.00000             0.00000             0.00000             
0.59000             0.00000             0.00000             0.00000             
0.61000             0.00000             0.00000             0.00000             
0.63000             0.00000             0.00000             0.00000             
0.65000             0.00000             0.00000             0.00000             
0.67000             0.00000             0.00000             0.00000             
0.69000             0.00000             0.00000             0.00000             
0.71000             0.00000             0.00000             0.00000             
0.73000             0.00005             0.00000             0.00269             
0.75000             0.00104             0.00001             0.06453             
0.77000             0.00000             0.00000             0.06453             
0.79000             0.00000             0.00000             0.06453             
0.81000             0.00000             0.00000             0.06453             
0.83000             0.00000             0.00000             0.06453             
0.85000             0.00000             0.00000             0.06453             
0.87000             0.00000             0.00000             0.06453             
0.89000             0.00000             0.00000             0.06453             
0.91000             0.00000             0.00000             0.06453             
0.93000             0.00000             0.00000             0.06453             
0.95000             0.00000             0.00000             0.06453             
0.97000             0.00000             0.00000             0.06453             
0.99000             0.00000             0.00000             0.06453             
1.01000             0.00000             0.00000             0.06453             
1.03000             0.00000             0.00000             0.06453             
1.05000             0.00000             0.00000             0.06453             
1.07000             0.00000             0.00000             0.06453             
1.09000             0.00000             0.00000             0.06453             
1.11000             0.00000             0.00000             0.06453             
1.13000             0.00000             0.00000             0.06453             
1.15000             0.00000             0.00000             0.06453             
1.17000             0.00000             0.00000             0.06453             
1.19000             0.00000             0.00000             0.06453             
1.21000             0.00000             0.00000             0.06453             
1.23000             0.00000             0.00000             0.06453             
1.25000             0.00000             0.00000             0.06453             
1.27000             0.00000             0.00000             0.06453             
1.29000             0.00000             0.00000             0.06453             
1.31000             0.00000             0.00000             0.06453             
1.33000             0.00000             0.00000             0.06453             
1.35000             0.00000             0.00000             0.06453             
1.37000             0.00000             0.00000             0.06453             
1.39000             0.00000             0.00000             0.06453             
1.41000             0.00745             0.00035             1.62312             
1.43000             0.00535             0.00026             2.77482             
1.45000             0.00000             0.00000             2.77482             
1.47000             0.00000             0.00000             2.77482             
1.49000             0.00000             0.00000             2.77482             
1.51000             0.00000             0.00000             2.77482             
1.53000             0.00000             0.00000             2.77482             
1.55000             0.00000             0.00000             2.77482             
1.57000             0.00000             0.00000             2.77482             
1.59000             0.00000             0.00000             2.77482             
1.61000             0.00000             0.00000             2.77482             
1.63000             0.00000             0.00000             2.77482             
1.65000             0.00000             0.00000             2.77482             
1.67000             0.00000             0.00000             2.77482             
1.69000             0.00000             0.00000             2.77482             
1.71000             0.00000             0.00000             2.77482             
1.73000             0.00000             0.00000             2.77482             
1.75000             0.00000             0.00000             2.77482             
1.77000             0.00000             0.00000             2.77482             
1.79000             0.00000             0.00000             2.77482             
1.81000             0.00000             0.00000             2.77482             
1.83000             0.00000             0.00000             2.77482             
1.85000             0.00000             0.00000             2.77482             
1.87000             0.00000             0.00000             2.77482             
1.89000             0.00000             0.00000             2.77482             
1.91000             0.00000             0.00000             2.77482             
1.93000             0.00000             0.00000             2.77482             
1.95000             0.00000             0.00000             2.77482             
1.97000             0.00000             0.00000             2.77482             
1.99000             0.00000             0.00000             2.77482             
2.01000             0.00000             0.00000             2.77482             
2.03000             0.00000             0.00000             2.77482             
2.05000             0.00000             0.00000             2.77482             
2.07000             0.00000             0.00000             2.77482             
2.09000             0.00000             0.00000             2.77482             
2.11000             0.00000             0.00000             2.77482             
2.13000             0.00000             0.00000             2.77482             
2.15000             0.00000             0.00000             2.77482             
2.17000             0.00000             0.00000             2.77482             
2.19000             0.00000             0.00000             2.77482             
2.21000             0.00000             0.00000             2.77482             
2.23000             0.00000             0.00000             2.77482             
2.25000             0.00000             0.00000             2.77482             
2.27000             0.00000             0.00000             2.77482             
2.29000             0.00000             0.00000             2.77482             
2.31000             0.00000             0.00000             2.77482             
2.33000             0.00000             0.00000             2.77482             
2.35000             0.00000             0.00000             2.77482             
2.37000             0.00000             0.00000             2.77482             
2.39000             0.00000             0.00000             2.77482             
2.41000             0.00000             0.00000             2.77482             
2.43000             0.00000             0.00000             2.77571             
2.45000             0.00610             0.00086             6.62514             
2.47000             0.00245             0.00035             8.19538             
2.49000             0.00000             0.00000             8.19538             
2.51000             0.00000             0.00000             8.19538             
2.53000             0.00000             0.00000             8.19538             
2.55000             0.00000             0.00000             8.19538             
2.57000             0.00000             0.00000             8.19538             
2.59000             0.00000             0.00000             8.19538             
2.61000             0.00000             0.00000             8.19538             
2.63000             0.00000             0.00000             8.19538             
2.65000             0.00000             0.00000             8.19538             
2.67000             0.00000             0.00000             8.19538             
2.69000             0.00000             0.00000             8.19538             
2.71000             0.00000             0.00000             8.19538             
2.73000             0.00000             0.00000             8.19538             
2.75000             0.00000             0.00000             8.19538             
2.77000             0.00000             0.00000             8.19538             
2.79000             0.00000             0.00000             8.19538             
2.81000             0.00000             0.00000             8.19673             
2.83000             0.00227             0.00043             10.10934            
2.85000             0.00093             0.00018             10.90836            
2.87000             0.00001             0.00000             10.91553            
2.89000             0.00001             0.00000             10.92404            
2.91000             0.00001             0.00000             10.93614            
2.93000             0.00003             0.00001             10.96437            
2.95000             0.00003             0.00001             10.99126            
2.97000             0.00004             0.00001             11.03070            
2.99000             0.00005             0.00001             11.07372            
3.01000             0.00006             0.00001             11.12704            
3.03000             0.00006             0.00001             11.18172            
3.05000             0.00007             0.00002             11.24894            
3.07000             0.00008             0.00002             11.32467            
