# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: K and K
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  g(r)_id_gas_norm    g(r)_unnonorm       g(r)_unnorm_cumsum  
0.01000             0.00000             0.00000             0.00000             
0.03000             0.00000             0.00000             0.00000             
0.05000             0.00000             0.00000             0.00000             
0.07000             0.00000             0.00000             0.00000             
0.09000             0.00000             0.00000             0.00000             
0.11000             0.00000             0.00000             0.00000             
0.13000             0.00000             0.00000             0.00000             
0.15000             0.00000             0.00000             0.00000             
0.17000             0.00000             0.00000             0.00000             
0.19000             0.00000             0.00000             0.00000             
0.21000             0.00000             0.00000             0.00000             
0.23000             0.00000             0.00000             0.00000             
0.25000             0.00000             0.00000             0.00000             
0.27000             0.00000             0.00000             0.00000             
0.29000             0.00000             0.00000             0.00000             
0.31000             0.00000             0.00000             0.00000             
0.33000             0.00000             0.00000             0.00000             
0.35000             0.00000             0.00000             0.00000             
0.37000             0.00000             0.00000             0.00000             
0.39000             0.00000             0.00000             0.00000             
0.41000             0.00000             0.00000             0.00000             
0.43000             0.00000             0.00000             0.00000             
0.45000             0.00000             0.00000             0.00000             
0.47000             0.00000             0.00000             0.00000             
0.49000             0.00000             0.00000             0.00000             
0.51000             0.00000             0.00000             0.00000             
0.53000             0.00000             0.00000             0.00000             
0.55000             0.00000             0.00000             0.00000             
0.57000             0.00000             0.00000             0.00000             
0.59000             0.00000             0.00000             0.00000             
0.61000             0.00000             0.00000             0.00000             
0.63000             0.00000             0.00000             0.00000             
0.65000             0.00000             0.00000             0.00000             
0.67000             0.00000             0.00000             0.00000             
0.69000             0.00000             0.00000             0.00000             
0.71000             0.00000             0.00000             0.00000             
0.73000             0.00000             0.00000             0.00000             
0.75000             0.00000             0.00000             0.00000             
0.77000             0.00000             0.00000             0.00000             
0.79000             0.00000             0.00000             0.00000             
0.81000             0.00000             0.00000             0.00000             
0.83000             0.00000             0.00000             0.00000             
0.85000             0.00000             0.00000             0.00000             
0.87000             0.00000             0.00000             0.00000             
0.89000             0.00000             0.00000             0.00000             
0.91000             0.00000             0.00000             0.00000             
0.93000             0.00000             0.00000             0.00000             
0.95000             0.00000             0.00000             0.00000             
0.97000             0.00000             0.00000             0.00000             
0.99000             0.00000             0.00000             0.00000             
1.01000             0.00000             0.00000             0.00000             
1.03000             0.00000             0.00000             0.00000             
1.05000             0.00000             0.00000             0.00000             
1.07000             0.00000             0.00000             0.00000             
1.09000             0.00000             0.00000             0.00000             
1.11000             0.00000             0.00000             0.00000             
1.13000             0.00000             0.00000             0.00000             
1.15000             0.00000             0.00000             0.00000             
1.17000             0.00000             0.00000             0.00000             
1.19000             0.00000             0.00000             0.00000             
1.21000             0.00000             0.00000             0.00000             
1.23000             0.00000             0.00000             0.00000             
1.25000             0.00000             0.00000             0.00000             
1.27000             0.00000             0.00000             0.00000             
1.29000             0.00000             0.00000             0.00000             
1.31000             0.00000             0.00000             0.00000             
1.33000             0.00000             0.00000             0.00000             
1.35000             0.00000             0.00000             0.00000             
1.37000             0.00000             0.00000             0.00000             
1.39000             0.00000             0.00000             0.00000             
1.41000             0.00000             0.00000             0.00000             
1.43000             0.00000             0.00000             0.00000             
1.45000             0.00000             0.00000             0.00000             
1.47000             0.00000             0.00000             0.00000             
1.49000             0.00000             0.00000             0.00000             
1.51000             0.00000             0.00000             0.00000             
1.53000             0.00000             0.00000             0.00000             
1.55000             0.00000             0.00000             0.00000             
1.57000             0.00000             0.00000             0.00000             
1.59000             0.00000             0.00000             0.00000             
1.61000             0.00000             0.00000             0.00000             
1.63000             0.00000             0.00000             0.00000             
1.65000             0.00000             0.00000             0.00000             
1.67000             0.00000             0.00000             0.00000             
1.69000             0.00000             0.00000             0.00000             
1.71000             0.00000             0.00000             0.00000             
1.73000             0.00000             0.00000             0.00000             
1.75000             0.00000             0.00000             0.00000             
1.77000             0.00000             0.00000             0.00000             
1.79000             0.00000             0.00000             0.00000             
1.81000             0.00000             0.00000             0.00000             
1.83000             0.00000             0.00000             0.00000             
1.85000             0.00000             0.00000             0.00000             
1.87000             0.00000             0.00000             0.00000             
1.89000             0.00000             0.00000             0.00000             
1.91000             0.00000             0.00000             0.00000             
1.93000             0.00000             0.00000             0.00000             
1.95000             0.00000             0.00000             0.00000             
1.97000             0.00000             0.00000             0.00000             
1.99000             0.00000             0.00000             0.00000             
2.01000             0.00000             0.00000             0.00000             
2.03000             0.00000             0.00000             0.00000             
2.05000             0.00000             0.00000             0.00000             
2.07000             0.00000             0.00000             0.00000             
2.09000             0.00000             0.00000             0.00000             
2.11000             0.00000             0.00000             0.00000             
2.13000             0.00000             0.00000             0.00000             
2.15000             0.00000             0.00000             0.00000             
2.17000             0.00000             0.00000             0.00000             
2.19000             0.00000             0.00000             0.00000             
2.21000             0.00000             0.00000             0.00000             
2.23000             0.00000             0.00000             0.00000             
2.25000             0.00000             0.00000             0.00000             
2.27000             0.00000             0.00000             0.00000             
2.29000             0.00000             0.00000             0.00000             
2.31000             0.00000             0.00000             0.00000             
2.33000             0.00000             0.00000             0.00000             
2.35000             0.00000             0.00000             0.00000             
2.37000             0.00000             0.00000             0.00000             
2.39000             0.00000             0.00000             0.00000             
2.41000             0.00000             0.00000             0.00000             
2.43000             0.00000             0.00000             0.00000             
2.45000             0.00000             0.00000             0.00000             
2.47000             0.00000             0.00000             0.00000             
2.49000             0.00000             0.00000             0.00000             
2.51000             0.00000             0.00000             0.00000             
2.53000             0.00000             0.00000             0.00000             
2.55000             0.00000             0.00000             0.00000             
2.57000             0.00000             0.00000             0.00000             
2.59000             0.00000             0.00000             0.00000             
2.61000             0.00000             0.00000             0.00000             
2.63000             0.00000             0.00000             0.00000             
2.65000             0.00000             0.00000             0.00000             
2.67000             0.00000             0.00000             0.00000             
2.69000             0.00000             0.00000             0.00000             
2.71000             0.00000             0.00000             0.00000             
2.73000             0.00000             0.00000             0.00000             
2.75000             0.00000             0.00000             0.00000             
2.77000             0.00000             0.00000             0.00000             
2.79000             0.00000             0.00000             0.00000             
2.81000             0.00000             0.00000             0.00000             
2.83000             0.00000             0.00000             0.00000             
2.85000             0.00000             0.00000             0.00000             
2.87000             0.00000             0.00000             0.00000             
2.89000             0.00000             0.00000             0.00000             
2.91000             0.00000             0.00000             0.00000             
2.93000             0.00000             0.00000             0.00000             
2.95000             0.00000             0.00000             0.00000             
2.97000             0.00000             0.00000             0.00000             
2.99000             0.00000             0.00000             0.00000             
3.01000             0.00000             0.00000             0.00000             
3.03000             0.00000             0.00000             0.00000             
3.05000             0.00000             0.00000             0.00000             
3.07000             0.00000             0.00000             0.00000             
